Category,Products,Qty-2007-08,Value-2007-08,Qty-2008-09,Value-2008-09,Qty-2009-10,Value-2009-10,Qty-2010-11,Value-2010-11,Qty-2011-12,Value-2011-12,Qty-2012-13,Value-2012-13,Qty-2013-14,Value-2013-14
Floriculture & Seed,Floriculture,36240.71,34014.42,30798.34,36881.41,26814.52,29446.36,28906.76,29604.04,30926.02,36532.15,27121.86,42344.6,22485.21,45590.62
Floriculture & Seed,Fruit and Vegetables Seeds,10157.13,14212.29,8535.53,11999.09,8883.86,14507.51,11622.33,18491.77,15205.81,28776.35,17168,34772.39,17816.7,41053.76
Floriculture & Seed,Total,46397.84,48226.71,39333.87,48880.5,35698.38,43953.87,40529.09,48095.81,46131.83,65308.5,44289.86,77116.99,40301.91,86644.38
Fresh Fruits & Vegetables,Fresh Onions,1008606.48,103577.89,1670186.29,182752.21,1664922.39,231942.98,1182324.2,177928.62,1309924.82,172299.8,1666872.6,196662.66,1482498.58,316961.25
Fresh Fruits & Vegetables,Other Fresh Vegetables,350235.47,48949.01,505285.46,68020.32,419241.35,73185.9,499320.05,92138.76,734178.8,131048.2,768627.2,151633.56,953731.22,229332.27
Fresh Fruits & Vegetables,Dried Nuts (Walnuts),6716.48,16207.8,5696.34,14123.63,9073.38,19789.51,5762.34,16629.25,5841.56,23108.4,5295.47,19983.57,6726.36,32453.5
Fresh Fruits & Vegetables,Fresh Mangoes,54350.8,12741.76,83703.18,17071.25,74460.61,20053.98,58863.41,16483.6,63441.29,20974.3,55584.99,26471.78,41279.97,28542.85
Fresh Fruits & Vegetables,Fresh Grapes,96963.57,31782.51,124627.97,40861.28,131153.61,54533.89,98005.12,42830.28,108584.56,60288.15,172744.42,125942.78,192616.91,166647.45
Fresh Fruits & Vegetables,Other Fresh Fruits,207700.78,30452.6,256768.53,43086.84,260675.43,52283.32,255024.83,51175.27,270437.2,75541.11,263970.29,77975.78,240552.45,102159.21
Fresh Fruits & Vegetables,Total,1724573.58,243711.57,2646267.77,365915.53,2559526.77,451789.58,2099299.95,397185.78,2492408.27,483259.96,2933094.97,598670.13,2917405.49,876096.53
Processed Fruits and Vegetables Cucumber & Gherkins,Cucumber & Gherkins,0,0,0,0,0,0,209231.83,51525.79,258603,74503.45,238624.89,85659.18,218749.79,95520.18
Processed Fruits and Vegetables Cucumber & Gherkins,Dried and Preserved Vegetables,125726.28,42993.81,147861.22,49641.51,124613.5,53207.48,49009.12,37333.5,64794.09,52678.47,68520.25,63795.76,56158.38,74271.74
Processed Fruits and Vegetables Cucumber & Gherkins,Mango Pulp,166752.17,50968.51,173013.6,75298.9,186197.85,74460.77,170219.72,81893.27,150499.06,62082.91,147815.69,60855.73,174860.33,77294.76
Processed Fruits and Vegetables Cucumber & Gherkins,Other Processed Fruits and Vegetables,311756.29,96281.65,387126.42,137179,397978.17,143550.63,199868.41,99704.05,274807.05,157759.82,269217.26,173305.54,287384.61,226660.26
Processed Fruits and Vegetables Cucumber & Gherkins,Total,604234.74,190243.97,708001.24,262119.41,708789.52,271218.88,628329.08,270456.61,748703.2,347024.65,724178.09,383616.21,737153.11,473746.94
Grand Total,Grand Total,2375206.16,482182.25,3393602.88,676915.44,3304014.67,766962.33,2768158.12,715738.2,3287243.3,895593.11,3701562.92,1059403.33,3694860.51,1436487.85
