Crops groups,Crop,Selections,Hybrids,Mutants,Other,Total
Vegetable Crops,Potato,0,1,0,2,3
Vegetable Crops,Chillies,2,0,0,0,2
Vegetable Crops,Bottle gourd,1,1,0,0,2
Vegetable Crops,Sponge gourd,1,0,0,0,1
Vegetable Crops,Snap melon,2,0,0,0,2
Vegetable Crops,Onion,4,0,0,0,4
Vegetable Crops,Garlic,2,0,0,0,2
Vegetable Crops,Indian bean,2,0,0,0,2
Vegetable Crops,Cluster bean,2,0,0,0,2
Vegetable Crops,Sword bean,1,0,0,0,1
Vegetable Crops,Kachri (melon),2,0,0,0,2
Vegetable Crops,Kakri (Cucumber),2,0,0,0,2
Vegetable Crops,Sub-Total,0,0,0,0,25
Ornamental Crops,Dendrobium orchid,1,0,0,0,1
Ornamental Crops,Renanthera imschootiana,1,0,0,0,1
Ornamental Crops,Chryanthemum,2,0,0,0,2
Ornamental Crops,Gladiolus,4,0,0,0,4
Ornamental Crops,Sub-Total,0,0,0,0,8
Plantaition and Spice Crops,Black pepper,0,1,0,0,1
Plantaition and Spice Crops,Ginger,0,0,1,0,1
Plantaition and Spice Crops,Turmeric,2,0,0,0,2
Plantaition and Spice Crops,Coriander,4,0,0,0,4
Plantaition and Spice Crops,Cumin,1,0,0,0,1
Plantaition and Spice Crops,Fennel,3,0,0,0,3
Plantaition and Spice Crops,Fenugreek,5,0,0,0,5
Plantaition and Spice Crops,Ajowain,2,0,0,0,2
Plantaition and Spice Crops,Dill,2,0,0,0,2
Plantaition and Spice Crops,Nigella,1,0,0,0,1
Plantaition and Spice Crops,Anise,1,0,0,0,1
Plantaition and Spice Crops,Celery,1,0,0,0,1
Plantaition and Spice Crops,Sub-Total,0,0,0,0,24
Fruit Crops,Ber,1,1,0,0,2
Fruit Crops,Anonla,1,0,0,0,1
Fruit Crops,Khejri,1,0,0,0,1
Fruit Crops,Banana,1,0,0,1,2
Fruit Crops,Grapes,4,3,1,1,9
Fruit Crops,Pomegranate,1,0,0,0,1
Fruit Crops,Beal,1,0,0,0,1
Fruit Crops,Jamun,1,0,0,0,1
Fruit Crops,Mateera,2,1,0,0,3
Fruit Crops,Apple,1,0,0,0,1
Fruit Crops,Cherry,2,0,0,0,2
Fruit Crops,Walnut,5,0,0,0,5
Fruit Crops,Sub-Total,0,0,0,0,29
Medicinal and Aromatic Plants,Safed musli,2,0,0,0,2
Medicinal and Aromatic Plants,Ashwagandha,1,0,0,0,1
Medicinal and Aromatic Plants,Kalmegh,1,0,0,0,1
Medicinal and Aromatic Plants,Mandookparni,1,0,0,0,1
Medicinal and Aromatic Plants,Sub-Total,0,0,0,0,5
Grand Total,Grand Total,0,0,0,0,91
